label_name,category
Eminentia parietalis ,soft tissue structure – musculoskeletal system
Tuber parietale,soft tissue structure – musculoskeletal system
Margo occipitalis ossis parietalis,soft tissue structure – musculoskeletal system
Margo squamosus ossis parietalis,soft tissue structure – musculoskeletal system
Margo sagittalis ossis parietalis,soft tissue structure – musculoskeletal system
Margo frontalis ossis parietalis,soft tissue structure – musculoskeletal system
Angulus frontalis ossis parietalis,soft tissue structure – musculoskeletal system
Angulus occipitalis ossis parietalis,soft tissue structure – musculoskeletal system
Angulus sphenoideus ossis parietalis,soft tissue structure – musculoskeletal system
Angulus mastoideus ossis parietalis,soft tissue structure – musculoskeletal system
Foramen parietale,soft tissue structure – musculoskeletal system
Os frontale,bone – skeletal system
Squama frontalis,soft tissue structure – musculoskeletal system
Facies externa squamae frontalis,soft tissue structure – musculoskeletal system
Eminentia frontalis Tuber frontale,soft tissue structure – musculoskeletal system
Arcus superciliaris,soft tissue structure – musculoskeletal system
Glabella,soft tissue structure – musculoskeletal system
Pars frontalis marginis orbitalis,soft tissue structure – musculoskeletal system
